type, x, y, width, height,
course,0,0,5000,7400,
wall,0,0,5000,0,
wall,5000,0,0,0,
wall,5000,5000,5000,0,
wall,3600,5000,5000,0,
wall,3600,7400,3600,7400,
wall,1275,7400,3600,7400,
wall,1275,5000,1275,7400,
wall,0,5000,1275,5000,
pole,1275,600,,,
pole,1475,600,,,
pole,1675,600,,,
pole,2775,600,,,
pole,2975,600,,,
pole,3175,600,,,
pole,2175,1500,,,
pole,2375,1500,,,
pole,2575,1500,,,
pole,2775,1500,,,
pole,2975,1500,,,
pole,3175,1500,,,
pole,1275,2400,,,
pole,1475,2400,,,
pole,1675,2400,,,
pole,2175,3300,,,
pole,2375,3300,,,
pole,2575,3300,,,
pole,2775,3300,,,
pole,2975,3300,,,
pole,3175,3300,,,
pole,1250,6150,,,
pole,3750,6150,,,